id,src,tgt
00000019,大奖鼓励纪录片创作者以人文视角观察现实世界，传播人性关怀的情感，并在这新媒体世代，用独特的方式，从不同的角度去讲述和传播我们华人的故事，彰显我们的承诺，用纪录片洞察时代，照亮中国,大奖鼓励纪录片创作者以人文视角观察现实世界，传播人性关怀的情感，并在这新媒体时代，用独特的方式，从不同的角度去讲述和传播我们华人的故事，彰显我们的承诺，用纪录片洞察时代，照亮中国
00000020,继7月刚刚妄称“一国两制”白皮书削弱香港司法独立后，自称一直“试图避免卷入香港民主争论”的香港“末代总督”彭定康再度开腔，今日（3日）在《金融时报》中文网撰文称“香港困局考问英国道义责任”,继7月刚刚妄称“一国两制”白皮书削弱香港司法独立后，自称一直“试图避免卷入香港民主争论”的香港“末代总督”彭定康再度开腔，今日（3日）在《金融时报》中文网撰文称“香港困局拷问英国道义责任”
00000021,乘夜潜入原公司盗走保险柜内737件黄金首饰，价值共计190余万元,乘夜潜入原公司盗走保险柜内737件黄金首饰，价值共计190余万元
00000022,大曼谷地区有多处水上市场，只有当地人前往的传统水上市集，更适合自由行旅客，先做好行程规画，保证满载而归,大曼谷地区有多处水上市场，只有当地人前往的传统水上市集，更适合自由行旅客，先做好行程规划，保证满载而归
00000023,截至2012年6月30日，中金再生前五大股东中，既有加拿大股神的德马雷家族旗下的IGMFinancial，还有香港巴菲特刘央的香港西京投资，就连JP摩根也赫然在列,截至2012年6月30日，中金再生前五大股东中，既有加拿大股神的德马雷家族旗下的IGMFinancial，还有香港巴菲特刘央的香港西京投资，就连JP摩根也赫然在列
00000024,此前朴泰桓经纪团队(TeamGMP)发表声明称之所以其在最近的兴奋剂检测中呈阳性，是因为朴泰桓在韩国某医院进行脊椎纠正治疗时医生误用药,此前朴泰桓经纪团队(TeamGMP)发表声明称之所以其在最近的兴奋剂检测中呈阳性，是因为朴泰桓在韩国某医院进行脊椎纠正治疗时医生误用药
00000025,惟一价格走低的是交通和通信类价格，同比下降3%,惟一价格走低的是交通和通信类价格，同比下降3%
00000026,如果2011年电子阅读器的“滑铁卢”代表硬件推进数字出版的困境，那如今由众多的移动阅读APP则预示着蛰伏许久的数字出版业终于要再度振兴,如果2011年电子阅读器的“滑铁卢”代表硬件推进数字出版的困境，那如今有众多的移动阅读APP则预示着蛰伏许久的数字出版业终于要再度振兴
00000027,省环境保护委员会办公室对黄河花园口饮用水水源保护区环境问题挂牌督办，要求取水口饮用水水源保护区一级保护区内39家农家乐、渔家乐，于9月底前取缔,省环境保护委员会办公室对黄河花园口饮用水水源保护区环境问题挂牌督办，要求取水口饮用水水源保护区一级保护区内39家农家乐、渔家乐，于9月底前取缔
00000028,另外，马斯克在北京极客公园创新者峰会上表示，电动汽车行业需要颠覆，而车联网无疑是重要组成部分,另外，马斯克在北京极客公园创新者峰会上表示，电动汽车行业需要颠覆，而车联网无疑是重要组成部分
00000029,保荐代表人资格的取消并不意味着保健制度的取消，而是完善，有利于推进注册制改革,保荐代表人资格的取消并不意味着保健制度的取消，而是完善，有利于推进注册制改革
00000030,当基金运转趋于稳定时，精神领袖梁树新却决定离开，“离开执行团队是为了给‘微基金’去精神领袖蹚路，把对我个人的信任变成对公益机制的信任，才能让‘微基金’走得更远,当基金运转趋于稳定时，精神领袖梁树新却决定离开，“离开执行团队是为了给‘微基金’去精神领袖蹚路，把对我个人的信任变成对公益机制的信任，才能让‘微基金’走得更远
00000031,截至2012年1月末，金融机构人民币贷款余额已达到55.53万亿元,截至2012年1月末，金融机构人民币贷款余额已达到55.53万亿元
00000032,深入基层开展调查研究，走访服务对象，问政于民、问计与民……,深入基层开展调查研究，走访服务对象，问政于民、问计于民……
00000033,北京联通推出的宽带优惠新政颠覆了我们对“优惠”的认知——自9月起，2兆以上宽带包年业务被强绑3G手机业务，3G套餐资费每月最低66元,北京联通推出的宽带优惠新政颠覆了我们对“优惠”的认知——自9月起，2兆以上宽带包年业务被强绑3G手机业务，3G套餐资费每月最低66元
00000034,银行在淘宝天猫开店，销售投资金品和理财产品；保险公司在网上发起团购，产品遭火爆“秒杀”；基金公司与支付宝合作销售基金产品，产品即将进入电子商城……网络理财方式与我们越来越近,银行在淘宝天猫开店，销售投资金品和理财产品；保险公司在网上发起团购，产品遭火爆“秒杀”；基金公司与支付宝合作销售基金产品，产品即将进入电子商城……网络理财方式与我们越来越近
00000035,昨日，刚来深圳两天的女童玲玲(化名)经历了惊险的一天，早晨她随父亲外出卖早餐，却误上公交车，在司乘人员及热心市民帮助下，玲玲在公交车上环游了一圈深圳，下车时又回到了爸爸身边,昨日，刚来深圳两天的女童玲玲(化名)经历了惊险的一天，早晨她随父亲外出买早餐，却误上公交车，在司乘人员及热心市民帮助下，玲玲在公交车上环游了一圈深圳，下车时又回到了爸爸身边
00000036,其领导亲自跑到大理递交免予刑事处罚涵，以其工作表现优异且得到被害人亲属谅解为由，以组织的名义请求免予刑事处罚,其领导亲自跑到大理递交免予刑事处罚函，以其工作表现优异且得到被害人亲属谅解为由，以组织的名义请求免予刑事处罚
00000037,中国7月汇丰服务业PMI为50，创2005年11月有纪录以来最低,中国7月汇丰服务业PMI为50，创2005年11月有纪录以来最低
00000038,新华社评论：近期楼市春天派掌门人陈某关于一线城市房价未来5年翻番的言论，广大网民心知肚明,新华社评论：近期楼市春天派掌门人陈某关于一线城市房价未来5年翻番的言论，广大网民心知肚明
00000039,今日，网络突然盛传该女警鉴定为残疾,今日，网络突然盛传该女警鉴定为残疾
00000040,在股票期权推出前夕，上海证券交易所总经理黄红元3日表示，发展股票期权有利于支持行业创新，推动长期资金入市,在股票期权推出前夕，上海证券交易所总经理黄红元3日表示，发展股票期权有利于支持行业创新，推动长期资金入市
00000041,经甘肃省检察院交办，兰州市城关区检察院以涉嫌贪污罪、受贿罪，对甘肃省信托深圳财富管理中心经理陈德萍、北京财富管理中心经理周刚、上海财富管理中心经理杨栓军、兰州财富管理中心经理吴穷等17人立案侦查,经甘肃省检察院交办，兰州市城关区检察院以涉嫌贪污罪、受贿罪，对甘肃省信托深圳财富管理中心经理陈德萍、北京财富管理中心经理周刚、上海财富管理中心经理杨栓军、兰州财富管理中心经理吴穷等17人立案侦查
00000042,如此一来，中国移动将一洗3G时代的尴尬，并在4G大战中提前占据上峰,如此一来，中国移动将一洗3G时代的尴尬，并在4G大战中提前占据上风
00000043,卡拉奇媒体报道，巴基斯坦皮革业出口欧盟尽管可以享受一般普惠制的免关税待遇，但是如果政府不能解决一些长期存在的顽疾，实际仍然无法从中获益,卡拉奇媒体报道，巴基斯坦皮革业出口欧盟尽管可以享受一般普惠制的免关税待遇，但是如果政府不能解决一些长期存在的顽疾，实际仍然无法从中获益
00000044,昨晚是芦山地震后第一夜，几万名灾区群众在震中的废墟中渡过了震后第一夜,昨晚是芦山地震后第一夜，几万名灾区群众在震中的废墟中度过了震后第一夜
00000045,从曝光的真机照来看，小米3代工程机的背部似乎采用了金属材质，并采用5.5吋屏幕，分辨率为1080p,从曝光的真机照来看，小米3代工程机的背部似乎采用了金属材质，并采用5.5吋屏幕，分辨率为1080p
00000046,今日，我国在酒泉卫星发射中心用长征四号丙运载火箭，成功将遥感卫星二十号送入太空,今日，我国在酒泉卫星发射中心用长征四号丙运载火箭，成功将遥感卫星二十号送入太空
00000047,美国“人权观察”组织近日宣布2012年“赫尔曼·哈米特奖”获奖者名单，一共41人，竟有12名是中国人，并有7人是中国的维、蒙、藏等少数民族，他们几乎都坐过牢或目前正在狱中,美国“人权观察”组织近日宣布2012年“赫尔曼·哈米特奖”获奖者名单，一共41人，竟有12名是中国人，并有7人是中国的维、蒙、藏等少数民族，他们几乎都坐过牢或目前正在狱中
00000048,这一对策是否能凑效目前还未为可知,这一对策是否能凑效目前还为未可知
00000049,在这一消息刺激下，奇虎360股价近日大涨，创52周新高,在这一消息刺激下，奇虎360股价今日大涨，创52周新高
00000050,福州警方昨日透露，事发鼓楼区华林路，一男子在自助银行ATM机上查询还款额度时，被尾随而至的持刀男抵刀威胁，最后手被划伤流血，还被劫走400元,福州警方昨日透露，事发鼓楼区华林路，一男子在自助银行ATM机上查询还款额度时，被尾随而至的持刀男抵刀威胁，最后手被划伤流血，还被劫走400元
00000051,在不同的社交网站中，Facebook无庸置疑地登上王位...,在不同的社交网站中，Facebook毋庸置疑地登上王位...
00000052,未来五年，星河将以“房地产开发、商业地产、金融投资”三架马车并举为发展战略,未来五年，星河将以“房地产开发、商业地产、金融投资”三驾马车并举为发展战略
00000053,美国学者洪理达将中国“剩女”现象视作一场有主导、由媒体发动的“洗脑运动”，目的是为了掩盖性别不平衡（男性过多）的问题，同时让女人早点生育，提高人口素质,美国学者洪理达将中国“剩女”现象视作一场有主导、由媒体发动的“洗脑运动”，目的是为了掩盖性别不平衡（男性过多）的问题，同时让女人早点生育，提高人口素质
00000054,正在澳大利亚访问的安倍首相，今日上午将作为日本首相第一次在澳大利亚联邦国会上发表演说，就日本决定形式集体自卫权，强化与澳大利亚的军事合作关系等发表观点，并呼吁中韩等国放弃对日本的敌意,正在澳大利亚访问的安倍首相，今日上午将作为日本首相第一次在澳大利亚联邦国会上发表演说，就日本决定行使集体自卫权，强化与澳大利亚的军事合作关系等发表观点，并呼吁中韩等国放弃对日本的敌意
00000055,据加拿大《星岛日报》综合报道，愈来愈多加拿大人未能觅得全职，很多移民只能靠身兼数职来维持生计，不仅缺乏保障和福利，影响家庭财务的稳健状况，更可能祸及下一代成长，做成跨代贫穷,据加拿大《星岛日报》综合报道，愈来愈多加拿大人未能觅得全职，很多移民只能靠身兼数职来维持生计，不仅缺乏保障和福利，影响家庭财务的稳健状况，更可能祸及下一代成长，作成跨代贫穷
00000056,有市民反映，近来一个月，一名男子常开着行政执法车到南京璇子巷一带停放，到第二天再开走，存在公车私用的情况,有市民反映，近来一个月，一名男子常开着行政执法车到南京璇子巷一带停放，到第二天再开走，存在公车私用的情况
00000057,作为“社区权力”之一“投标权”，可以让居民通过众筹等方式保护社区内将要被依法变卖的建筑和土地，如深受居民们所喜爱的博物馆、图书馆、酒吧、剧院等，迄今为止这项政策已经使英格兰约1200幢建筑被阻止出售,作为“社区权力”之一“投标权”，可以让居民通过众筹等方式保护社区内将要被依法变卖的建筑和土地，如深受居民们所喜爱的博物馆、图书馆、酒吧、剧院等，迄今为止这项政策已经使英格兰约1200幢建筑被阻止出售
00000058,一些逝者过逝后，其亲人又为其盖起微缩小别墅安放其骨灰,一些逝者过世后，其亲人又为其盖起微缩小别墅安放其骨灰
00000059,机场接机、媒体蜂拥、入住别墅…昨天申花抵达昆明收到热捧,机场接机、媒体蜂拥、入住别墅…昨天申花抵达昆明受到热捧
00000060,近日，19岁的英国跳水明星戴利在访谈节目里对外表示，今天春天，他遇到了生命中注定的那个人，他的整个人生为此改变了,近日，19岁的英国跳水明星戴利在访谈节目里对外表示，今年春天，他遇到了生命中注定的那个人，他的整个人生为此改变了
00000061,今天中午，浙江永康市政府官方微博“永康发布”发帖称，搬离尸体因防止借尸闹事事件的发生,今天中午，浙江永康市政府官方微博“永康发布”发帖称，搬离尸体应防止借尸闹事事件的发生
00000062,央行公布的数据显示，9月末，国家外汇储备余额为3.89万亿美元，比6月末下降约1000亿美元,央行公布的数据显示，9月末，国家外汇储备余额为3.89万亿美元，比6月末下降约1000亿美元
00000063,不排除美元升值其间，一线城市房价出现短暂滞涨的可能,不排除美元升值其间，一线城市房价出现短暂滞涨的可能
00000064,不过，31日坊间传闻，一家名为阿波罗亚洲投资有限公司，正视图申请法院裁定赛维LDK创始人、董事长兼首席执行官彭小峰个人破产，其理由是交易违背了“优先义务”,不过，31日坊间传闻，一家名为阿波罗亚洲投资有限公司，正试图申请法院裁定赛维LDK创始人、董事长兼首席执行官彭小峰个人破产，其理由是交易违背了“优先义务”
00000065,售价为390美元，和人民币2400元左右，晚些时候登陆中国,售价为390美元，合人民币2400元左右，晚些时候登陆中国
00000066,为了周游世界的梦想，童海丽转掉自己的店铺，筹集10万元路费，不过由于办理欧洲签证需要5万元定期存款，她在QQ空间、微信圈里发借钱信息，短短几天时间，一百余名网友向她打钱，资金已有1.5万余元,为了周游世界的梦想，童海丽转掉自己的店铺，筹集10万元路费，不过由于办理欧洲签证需要5万元定期存款，她在QQ空间、微信圈里发借钱信息，短短几天时间，一百余名网友向她打钱，资金已有1.5万余元
00000067,英国印裔女子考尔12年前患上多囊性卵巢症候群，脸部、胸口及双臂的毛发开始茂密生长，令她相当尴尬，曾有自杀念头，更收到死亡威胁,英国印裔女子考尔12年前患上多囊性卵巢症候群，脸部、胸口及双臂的毛发开始茂密生长，令她相当尴尬，曾有自杀念头，更受到死亡威胁
00000068,但一个脾气火暴，只注重成绩，很少关注员工情绪的领导者也往往陷入不受欢迎的失败沼泽,但一个脾气火爆，只注重成绩，很少关注员工情绪的领导者也往往陷入不受欢迎的失败沼泽
00000069,肯德基方面表示，挂广告的店铺已停止营业，目前广告横幅仍就挂着，店门关闭，不清楚何人所为,肯德基方面表示，挂广告的店铺已停止营业，目前广告横幅仍旧挂着，店门关闭，不清楚何人所为
00000070,记者昨天走访发现，武汉不少母婴用品店里，乳加力仍在热卖,记者昨天走访发现，武汉不少母婴用品店里，乳加力仍在热卖
00000071,截至3月末，工行不良贷款余额为802.37亿元，比上年末增加56.62亿元；不良贷款率0.87%，比上年末提高0.02个百分点,截至3月末，工行不良贷款余额为802.37亿元，比上年末增加56.62亿元；不良贷款率0.87%，比上年末提高0.02个百分点
00000072,警方称，臧纪超因琐事对其弟弟臧某夫妻及臧某妻妹心怀不满，遂与昨日将郑某两女儿相继杀害,警方称，臧纪超因琐事对其弟弟臧某夫妻及臧某妻妹心怀不满，遂于昨日将郑某两女儿相继杀害
00000073,以前扫描一维条码是商场超市工作人员的专利，现在，消费者在购物的时候，只要有一台智能手机和一个二维码识别软件，就可以对无处不在的二维码进行扫描，获取商品所见部分以外的更多信息,以前扫描一维条码是商场超市工作人员的专利，现在，消费者在购物的时候，只要有一台智能手机和一个二维码识别软件，就可以对无处不在的二维码进行扫描，获取商品所见部分以外的更多信息
00000074,美国佛罗里达州迈尔斯堡一家教堂20日举行的年度复活节音乐界即将开始前，一辆汽车冲入人群，造成21人受伤,美国佛罗里达州迈尔斯堡一家教堂20日举行的年度复活节音乐节即将开始前，一辆汽车冲入人群，造成21人受伤
00000075,日前，风行工作室爆光了范冰冰李晨元旦在老家的“探亲访友”的照片，这段“悬而未决”的恋情呼之欲出,日前，风行工作室曝光了范冰冰李晨元旦在老家的“探亲访友”的照片，这段“悬而未决”的恋情呼之欲出
00000076,台湾银行从80年代末进行的利率市场化调整，经过了12年左右的调整，使银行利差明显收窄，接着就是资产的恶化，拨备的的下降，在到后来银行业整体出现亏损,台湾银行从80年代末进行的利率市场化调整，经过了12年左右的调整，使银行利差明显收窄，接着就是资产的恶化，拨备的的下降，再到后来银行业整体出现亏损
00000077,于8月10日在威斯康星州的圣帕特里克教区举行，这是该地区一项历史悠久且非常受人欢迎的比赛项目,于8月10日在威斯康星州的圣帕特里克教区举行，这是该地区一项历史悠久且非常受人欢迎的比赛项目
00000078,调查显示：亚洲受访者平均总收入为40441美元，远低于全球101533美元的平均水平；亚洲加薪幅度大，超过40%的受访者最近一次加薪幅度为5%-10%；发展中国家如中国的薪资长幅较大,调查显示：亚洲受访者平均总收入为40441美元，远低于全球101533美元的平均水平；亚洲加薪幅度大，超过40%的受访者最近一次加薪幅度为5%-10%；发展中国家如中国的薪资长幅较大
00000079,根据泛太平洋咨询团队的研究，在近五年中国就业市场持续低弱的情况下，尽管民工和制造业工人招工难，但白领和金领岗位的用工成本却出现下降,根据泛太平洋咨询团队的研究，在近五年中国就业市场持续低弱的情况下，尽管民工和制造业工人招工难，但白领和金领岗位的用工成本却出现下降
00000080,周四，尚德电力收跌19.28%报0.67美元，周三周四累积下跌38.53%,周四，尚德电力收跌19.28%报0.67美元，周三周四累计下跌38.53%
00000081,据当地网友称，疑犯骑摩托车等侯在银行前，运钞车到达后，疑犯打伤一名押运员，押运员开枪还击，击倒抢劫嫌疑人并随后将其擒获,据当地网友称，疑犯骑摩托车等候在银行前，运钞车到达后，疑犯打伤一名押运员，押运员开枪还击，击倒抢劫嫌疑人并随后将其擒获
00000082,由于旗舰手机MotoX的销量并不乐观，因此摩托罗拉将于今日推出一款定位相对低端的机型MotoG,由于旗舰手机MotoX的销量并不乐观，因此摩托罗拉将于今日推出一款定位相对低端的机型MotoG
00000083,患者头上带着配置电极的帽子，可以收集脑波,患者头上戴着配置电极的帽子，可以收集脑波
00000084,这意味被外界誉为华南“钢贸大鳄”的金型重工，暂时逃过被分割拍卖风险，有望消化40多亿巨额负债,这意味被外界誉为华南“钢贸大鳄”的金型重工，暂时逃过被分割拍卖风险，有望消化40多亿巨额负债
00000085,部分淘宝店主非法销售港澳游贵宾券、贵宾卡以及旅游券等各种明目的港澳旅游产品,部分淘宝店主非法销售港澳游贵宾券、贵宾卡以及旅游券等各种名目的港澳旅游产品
00000086,接连阴郁的亚洲股市在外围市场带动下扬眉吐气了一把,接连阴郁的亚洲股市在外围市场带动下扬眉吐气了一把
00000087,总书记在中南海的飞鸿，宛如温情的“一封家书”，娓娓道来，和蔼可亲，让千千万万的大学生村官为之动容,总书记在中南海的飞鸿，宛如温情的“一封家书”，娓娓道来，和蔼可亲，让千千万万的大学生村官为之动容
00000088,经过一个月喂饲照料，它产下龙虾卵，更没料到它竟长回双箝四脚，令专家啧啧称奇,经过一个月喂饲照料，它产下龙虾卵，更没料到它竟长回双钳四脚，令专家啧啧称奇
00000089,该调查大至需要三天，价格约为4100元人民币,该调查大致需要三天，价格约为4100元人民币
00000090,智能家居市场狼烟四起!我们想看的不是10亿“豪赌”我们想听的不是今天你找他，明天在翻脸，这些都没有意义,智能家居市场狼烟四起!我们想看的不是10亿“豪赌”我们想听的不是今天你找他，明天再翻脸，这些都没有意义
00000091,昨日中午，记者途经西安西华门大街西段三岔路口时被眼前的一幕惊呆了：一辆红色越野车上被10余张罚单覆盖，引来不少市民围观,昨日中午，记者途经西安西华门大街西段三岔路口时被眼前的一幕惊呆了：一辆红色越野车上被10余张罚单覆盖，引来不少市民围观
00000092,联邦移民部将于2015年1月1日正式实施“快速通道”（ExpressEntry）移民系统，移民部官员昨到国会就新系统进行解释，表示新系统启用后，1月底就会发出首批邀请函，之后每两个星期挑一次,联邦移民部将于2015年1月1日正式实施“快速通道”（ExpressEntry）移民系统，移民部官员昨到国会就新系统进行解释，表示新系统启用后，1月底就会发出首批邀请函，之后每两个星期挑一次
00000093,从政治上和法律上讲，加拿大政府刚刚作出成命，甚至从理论上尚未正式生效，此时若作出重大妥协让步，会显得此前的决策缺乏依据，显得加拿大政府欠缺政治智慧，客观上需付出的政治代价太大,从政治上和法律上讲，加拿大政府刚刚作出成命，甚至从理论上尚未正式生效，此时若作出重大妥协让步，会显得此前的决策缺乏依据，显得加拿大政府欠缺政治智慧，客观上需付出的政治代价太大
00000094,中国人民银行的最新数据显示，到8月份，我国居民储蓄余额已连续三个月突破43万亿元，位于历史最高位，较2008年8月20万亿元翻了一倍还多,中国人民银行的最新数据显示，到8月份，我国居民储蓄余额已连续三个月突破43万亿元，位于历史最高位，较2008年8月20万亿元翻了一倍还多
00000095,而对食物过敏和接触过敏惟一能做的就是尽量避免接触,而对食物过敏和接触过敏唯一能做的就是尽量避免接触
00000096,在如此豪可敌国开支下，地方债务隐忧不容忽视,在如此豪可敌国开支下，地方债务隐忧不容忽视
00000097,据报道，这条魏玛犬名叫皮里，视频中的它将头伸出汽车顶蓬的天窗，感受迎面而来的风，当它试图在笑时，风吹开了它的面部肌肉，将牙齿露了出来,据报道，这条魏玛犬名叫皮里，视频中的它将头伸出汽车顶棚的天窗，感受迎面而来的风，当它试图在笑时，风吹开了它的面部肌肉，将牙齿露了出来
00000098,今日，国家食品药品监督管理总局通报了2013年国家化妆品监督抽检结果，雅芳等6批次产品被曝不合格，其中4批产品检出禁用物质，2批产品检出限用物质超标,今日，国家食品药品监督管理总局通报了2013年国家化妆品监督抽检结果，雅芳等6批次产品被曝不合格，其中4批产品检出禁用物质，2批产品检出限用物质超标
00000099,经济发展方式粗放，产能产量过剩；能源消耗超计划增长、结构和利用不合理；机动车保有量增长过快，路油管问题突出；个别污染物减排，多数污染物持续增长；环境监管能力不足，违法排污屡禁不止,经济发展方式粗放，产能产量过剩；能源消耗超计划增长、结构和利用不合理；机动车保有量增长过快，路油管问题突出；个别污染物减排，多数污染物持续增长；环境监管能力不足，违法排污屡禁不止
00000100,如今，尽管并没有出现技术上的违约，但时政财政不断恶化已成为不争的事实，垃圾清运等市政服务质量也受到了严重的影响,如今，尽管并没有出现技术上的违约，但时政财政不断恶化已成为不争的事实，垃圾清运等市政服务质量也受到了严重的影响
00000101,欧美和日韩的学生制服固然神气，但让一个贪玩的孩子保持西装外套笔挺无皱、袖口洁白无瑕也可能成为一种负担,欧美和日韩的学生制服固然神气，但让一个贪玩的孩子保持西装外套笔挺无皱、袖口洁白无瑕也可能成为一种负担
00000102,截至6月末，我国人民币存款余额达100.91万亿元，首突百万亿大关，呈现加速度增长态势,截至6月末，我国人民币存款余额达100.91万亿元，首突百万亿大关，呈现加速度增长态势
00000103,近日，开设全国惟一一个劳教管理系的中央司法警官学院发布消息称，该校劳教管理系已正式更名为“矫正教育系”,近日，开设全国唯一一个劳教管理系的中央司法警官学院发布消息称，该校劳教管理系已正式更名为“矫正教育系”
00000104,从已披露的中报来看，部分业绩表现优秀的基金在前十大重仓股及隐形重仓股中多配置了成长性较好的医药、环保、互联网等板块,从已披露的中报来看，部分业绩表现优秀的基金在前十大重仓股及隐形重仓股中多配置了成长性较好的医药、环保、互联网等板块
